"","year","pop","total","violent","property","murder","forcible_rape","robbery","aggravated_assault","burglary","larceny_theft","vehicle_theft","Corpus","shit","piss","fuck","cunt","cocksucker","motherfucker","tits","violent_lagged","violent_mean_past_value"
"1",1960,179323175,1887.2,160.9,1726.3,5.1,9.6,60.1,86.1,508.6,1034.7,183,"en-US-2019",2.14613447013789e-07,8.86206663608391e-08,7.31645286577987e-08,4.8527055707126e-08,2.082566674666e-09,2.13160608608653e-09,1.19769168804851e-07,NA,160.9
"2",1961,182992000,1906.1,158.1,1747.9,4.8,9.4,58.3,85.7,518.9,1045.4,183.6,"en-US-2019",2.2952334859383e-07,8.97635544561126e-08,7.92459374565624e-08,4.69251038026641e-08,2.55275400817823e-09,1.08432282486248e-08,1.20224234478883e-07,160.9,159.5
"3",1962,185771000,2019.8,162.3,1857.5,4.6,9.4,59.7,88.6,535.2,1124.8,197.4,"en-US-2019",2.64954609955718e-07,9.67103327790634e-08,9.1927173428985e-08,5.21838184515862e-08,3.69468093156892e-09,1.00088837773349e-08,1.19590018480646e-07,158.1,160.433333333333
"4",1963,188483000,2180.3,168.2,2012.1,4.6,9.4,61.8,92.4,576.4,1219.1,216.6,"en-US-2019",3.09901060242217e-07,1.05730894769554e-07,1.50759998770614e-07,2.06373139529806e-07,3.92293689596305e-09,9.76714935913796e-09,1.19926142921096e-07,162.3,162.375
"5",1964,191141000,2388.1,190.6,2197.5,4.9,11.2,68.2,106.2,634.7,1315.5,247.4,"en-US-2019",3.68155886982484e-07,1.11928545923742e-07,1.7542517026316e-07,2.17063748562753e-07,4.87368228314316e-09,1.33365264546167e-08,1.22445409747992e-07,168.2,168.02
"6",1965,193526000,2449,200.2,2248.8,5.1,12.1,71.7,111.3,662.7,1329.3,256.8,"en-US-2019",4.50159772315471e-07,1.23691984908549e-07,2.15754403549389e-07,2.25509692951066e-07,6.60469545721298e-09,1.92057343362251e-08,1.23894847904791e-07,190.6,173.383333333333
"7",1966,195576000,2670.8,220,2450.9,5.6,13.2,80.8,120.3,721,1442.9,286.9,"en-US-2019",5.35298086999449e-07,1.37192321249456e-07,2.66888538443969e-07,2.52282228631527e-07,8.2311433224902e-09,2.64029891918126e-08,1.34515239835764e-07,200.2,180.042857142857
"8",1967,197457000,2989.7,253.2,2736.5,6.2,14,102.8,130.2,826.6,1575.8,334.1,"en-US-2019",6.69542251736337e-07,1.52272834595481e-07,3.35720237387704e-07,2.76469825065208e-07,1.07098651851751e-08,4.27554321470934e-08,1.44035052837158e-07,220,189.1875
"9",1968,199399000,3370.2,298.4,3071.8,6.9,15.9,131.8,143.8,932.3,1746.6,393,"en-US-2019",8.24815893046044e-07,1.68332007888239e-07,4.18572668081651e-07,3.01971980880873e-07,1.31037408860176e-08,5.17261570084518e-08,1.55184708765838e-07,253.2,201.322222222222
"10",1969,201385000,3680,328.7,3351.3,7.3,18.5,148.4,154.5,984.1,1930.9,436.2,"en-US-2019",9.66220186780577e-07,1.79299980069508e-07,4.86095168688345e-07,3.15965936335618e-07,1.47375580310844e-08,6.5996250242506e-08,1.68625429556154e-07,298.4,214.06
"11",1970,203235298,3984.5,363.5,3621,7.9,18.7,172.1,164.8,1084.9,2079.3,456.8,"en-US-2019",1.08279081294833e-06,1.90664924356757e-07,5.14638677324391e-07,1.77982463307152e-07,1.80405998711259e-08,7.58332084111706e-08,1.80548448318924e-07,328.7,227.645454545455
"12",1971,206212000,4164.7,396,3768.8,8.6,20.5,188,178.8,1163.5,2145.5,459.8,"en-US-2019",1.22075601081763e-06,2.06239079147963e-07,5.91035594814977e-07,1.92575610315414e-07,2.12216187480051e-08,8.81366811914372e-08,1.9470482064727e-07,363.5,241.675
"13",1972,208230000,3961.4,401,3560.4,9,22.5,180.7,188.8,1140.8,1993.6,426.1,"en-US-2019",1.32813540533659e-06,2.13926304987971e-07,6.49504244165655e-07,2.05183620697166e-07,2.35780133195362e-08,9.26642610262921e-08,2.0462516455869e-07,396,253.930769230769
"14",1973,209851000,4154.4,417.4,3737,9.4,24.5,183.1,200.5,1222.5,2071.9,442.6,"en-US-2019",1.40071306629709e-06,2.22273681872918e-07,6.8433836629213e-07,2.027535584505e-07,2.61577616709831e-08,9.53527877608654e-08,2.0783435924646e-07,401,265.607142857143
"15",1974,211392000,4850.4,461.1,4389.3,9.8,26.2,209.3,215.8,1437.7,2489.5,462.2,"en-US-2019",1.45910504605646e-06,2.32354513026881e-07,7.12576057334705e-07,2.01306824416341e-07,2.72568758674652e-08,8.75817046822444e-08,2.0945080133775e-07,417.4,278.64
"16",1975,213124000,5298.5,487.8,4810.7,9.6,26.3,220.8,231.1,1532.1,2804.8,473.7,"en-US-2019",1.50366934446668e-06,2.36189626840704e-07,7.31546850017496e-07,1.96394345104116e-07,2.92483337866705e-08,8.40478670787499e-08,2.1436776721982e-07,461.1,291.7125
"17",1976,214659000,5287.3,467.8,4819.5,8.7,26.6,199.3,233.2,1448.2,2921.3,450,"en-US-2019",1.52063861540747e-06,2.41856128013751e-07,7.6478003815542e-07,2.01409670402037e-07,3.13197013720615e-08,8.14879592374902e-08,2.14289335482525e-07,487.8,302.070588235294
