"","season","week","season_type","home_team","away_team","home_score","away_score"
"1",1999,1,"REG","PHI","ARI",24,25
"2",1999,1,"REG","IND","BUF",31,14
"3",1999,1,"REG","NO","CAR",19,10
"4",1999,1,"REG","TEN","CIN",36,35
"5",1999,1,"REG","WAS","DAL",35,41
"6",1999,1,"REG","SEA","DET",20,28
"7",1999,1,"REG","CHI","KC",20,17
"8",1999,1,"REG","DEN","MIA",21,38
"9",1999,1,"REG","ATL","MIN",14,17
"10",1999,1,"REG","NYJ","NE",28,30
"11",1999,1,"REG","TB","NYG",13,17
"12",1999,1,"REG","GB","LV",28,24
"13",1999,1,"REG","CLE","PIT",0,43
"14",1999,1,"REG","JAX","SF",41,3
"15",1999,2,"REG","MIA","ARI",19,16
"16",1999,2,"REG","DAL","ATL",24,7
"17",1999,2,"REG","TEN","CLE",26,9
"18",1999,2,"REG","KC","DEN",26,10
"19",1999,2,"REG","DET","GB",23,15
"20",1999,2,"REG","NE","IND",31,28
"21",1999,2,"REG","CAR","JAX",20,22
"22",1999,2,"REG","SF","NO",28,21
"23",1999,2,"REG","BUF","NYJ",17,3
"24",1999,2,"REG","MIN","LV",17,22
"25",1999,2,"REG","BAL","PIT",20,23
"26",1999,2,"REG","CIN","LAC",7,34
"27",1999,2,"REG","CHI","SEA",13,14
"28",1999,2,"REG","PHI","TB",5,19
"29",1999,2,"REG","NYG","WAS",21,50
"30",1999,3,"REG","LA","ATL",35,7
"31",1999,3,"REG","LV","CHI",24,17
"32",1999,3,"REG","CAR","CIN",27,3
"33",1999,3,"REG","BAL","CLE",17,10
"34",1999,3,"REG","TB","DEN",13,10
"35",1999,3,"REG","KC","DET",31,21
"36",1999,3,"REG","LAC","IND",19,27
"37",1999,3,"REG","GB","MIN",23,20
"38",1999,3,"REG","NE","NYG",16,14
"39",1999,3,"REG","BUF","PHI",26,0
"40",1999,3,"REG","PIT","SEA",10,29
"41",1999,3,"REG","ARI","SF",10,24
"42",1999,3,"REG","JAX","TEN",19,20
"43",1999,3,"REG","NYJ","WAS",20,27
"44",1999,4,"REG","DAL","ARI",35,7
"45",1999,4,"REG","ATL","BAL",13,19
"46",1999,4,"REG","MIA","BUF",18,23
"47",1999,4,"REG","WAS","CAR",38,36
"48",1999,4,"REG","PIT","JAX",3,17
"49",1999,4,"REG","LAC","KC",21,14
"50",1999,4,"REG","CLE","NE",7,19
"51",1999,4,"REG","CHI","NO",14,10
"52",1999,4,"REG","DEN","NYJ",13,21
"53",1999,4,"REG","SEA","LV",22,21
"54",1999,4,"REG","NYG","PHI",16,15
"55",1999,4,"REG","CIN","LA",10,38
"56",1999,4,"REG","MIN","TB",21,14
"57",1999,4,"REG","SF","TEN",24,22
"58",1999,5,"REG","NO","ATL",17,20
"59",1999,5,"REG","TEN","BAL",14,11
"60",1999,5,"REG","MIN","CHI",22,24
"61",1999,5,"REG","CLE","CIN",17,18
"62",1999,5,"REG","PHI","DAL",13,10
"63",1999,5,"REG","LV","DEN",13,16
"64",1999,5,"REG","NYJ","JAX",6,16
"65",1999,5,"REG","IND","MIA",31,34
"66",1999,5,"REG","KC","NE",16,14
"67",1999,5,"REG","ARI","NYG",14,3
"68",1999,5,"REG","BUF","PIT",24,21
"69",1999,5,"REG","DET","LAC",10,20
"70",1999,5,"REG","LA","SF",42,20
"71",1999,5,"REG","GB","TB",26,23
"72",1999,6,"REG","SF","CAR",29,31
"73",1999,6,"REG","JAX","CLE",24,7
"74",1999,6,"REG","NYG","DAL",13,10
"75",1999,6,"REG","DEN","GB",31,10
"76",1999,6,"REG","NYJ","IND",13,16
"77",1999,6,"REG","NE","MIA",30,31
"78",1999,6,"REG","DET","MIN",25,23
"79",1999,6,"REG","BUF","LV",14,20
"80",1999,6,"REG","CHI","PHI",16,20
"81",1999,6,"REG","CIN","PIT",3,17
"82",1999,6,"REG","LAC","SEA",13,10
"83",1999,6,"REG","ATL","LA",13,41
"84",1999,6,"REG","NO","TEN",21,24
"85",1999,6,"REG","ARI","WAS",10,24
"86",1999,7,"REG","PIT","ATL",13,9
"87",1999,7,"REG","SEA","BUF",26,16
"88",1999,7,"REG","TB","CHI",6,3
"89",1999,7,"REG","IND","CIN",31,10
"90",1999,7,"REG","LA","CLE",34,3
"91",1999,7,"REG","NE","DEN",24,23
"92",1999,7,"REG","CAR","DET",9,24
"93",1999,7,"REG","LAC","GB",3,31
"94",1999,7,"REG","BAL","KC",8,35
"95",1999,7,"REG","NYG","NO",31,3
"96",1999,7,"REG","LV","NYJ",24,23
"97",1999,7,"REG","MIA","PHI",16,13
"98",1999,7,"REG","MIN","SF",40,16
"99",1999,7,"REG","DAL","WAS",38,20
"100",1999,8,"REG","BAL","BUF",10,13
"101",1999,8,"REG","ATL","CAR",27,20
"102",1999,8,"REG","WAS","CHI",48,22
