"","season","team","week","season_type","opponent","team_score","opponent_score","team_is_home","team_won","team_point_differential","week_of_last_game_played","bye_week","latest_bye_week_by_season","team_week_first_treated","team_id","season_week_id"
"1",1999,"ARI",11,"REG","DAL",13,9,"home",1,4,17,7,16,8,1,11
"2",1999,"ARI",1,"REG","PHI",25,24,"away",1,1,17,7,16,8,1,1
"3",1999,"ARI",10,"REG","DET",23,19,"home",1,4,17,7,16,8,1,10
"4",1999,"ARI",3,"REG","SF",10,24,"home",0,-14,17,7,16,8,1,3
"5",1999,"ARI",14,"REG","WAS",3,28,"away",0,-25,17,7,16,8,1,14
"6",1999,"ARI",17,"REG","GB",24,49,"away",0,-25,17,7,16,8,1,17
"7",1999,"ARI",8,"REG","NE",3,27,"home",0,-24,17,7,16,8,1,8
"8",1999,"ARI",16,"REG","ATL",14,37,"away",0,-23,17,7,16,8,1,16
"9",1999,"ARI",2,"REG","MIA",16,19,"away",0,-3,17,7,16,8,1,2
"10",1999,"ARI",6,"REG","WAS",10,24,"home",0,-14,17,7,16,8,1,6
"11",1999,"ARI",4,"REG","DAL",7,35,"away",0,-28,17,7,16,8,1,4
"12",1999,"ARI",13,"REG","PHI",21,17,"home",1,4,17,7,16,8,1,13
"13",1999,"ARI",9,"REG","NYJ",7,12,"away",0,-5,17,7,16,8,1,9
"14",1999,"ARI",15,"REG","BUF",21,31,"home",0,-10,17,7,16,8,1,15
"15",1999,"ARI",5,"REG","NYG",14,3,"home",1,11,17,7,16,8,1,5
"16",1999,"ARI",12,"REG","NYG",34,24,"away",1,10,17,7,16,8,1,12
"17",1999,"ATL",8,"REG","CAR",27,20,"home",1,7,17,10,16,11,2,8
"18",1999,"ATL",2,"REG","DAL",7,24,"away",0,-17,17,10,16,11,2,2
"19",1999,"ATL",15,"REG","TEN",17,30,"away",0,-13,17,10,16,11,2,15
"20",1999,"ATL",3,"REG","LA",7,35,"away",0,-28,17,10,16,11,2,3
"21",1999,"ATL",9,"REG","JAX",7,30,"home",0,-23,17,10,16,11,2,9
"22",1999,"ATL",17,"REG","SF",34,29,"home",1,5,17,10,16,11,2,17
"23",1999,"ATL",6,"REG","LA",13,41,"home",0,-28,17,10,16,11,2,6
"24",1999,"ATL",13,"REG","NO",35,12,"home",1,23,17,10,16,11,2,13
"25",1999,"ATL",11,"REG","TB",10,19,"away",0,-9,17,10,16,11,2,11
"26",1999,"ATL",16,"REG","ARI",37,14,"home",1,23,17,10,16,11,2,16
"27",1999,"ATL",5,"REG","NO",20,17,"away",1,3,17,10,16,11,2,5
